Cycle Day,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd,Step
2022-10-25 00:00:00+00:00,2078933808.0846362,410514876.5162418,321701262.18278027,226896253.78844833,199926398.49931166,440686103.3791031,4421704243.057968,After
2022-10-26 00:00:00+00:00,2247564150.7398334,471555673.7956579,372825367.8366957,235818889.474308,206567581.56217024,462240858.99980015,4253687447.9024353,After
2022-10-27 00:00:00+00:00,2278073641.1928515,489294781.6196668,426848849.056468,236877938.0932808,211166218.77385923,482121211.2794022,4146967023.43367,After
2022-10-28 00:00:00+00:00,2181959339.838039,401931948.0644963,122985736.4676466,235094949.3972206,176577846.50986692,252922020.31278843,4812742655.149689,After
2022-10-29 00:00:00+00:00,2329817898.676357,450330275.9138539,205316313.49502087,239835300.53152084,185334773.28276274,291953140.72205967,4638124147.597855,After
2022-10-30 00:00:00+00:00,2325303659.123592,460372072.3129165,256427128.24387646,240520187.1252098,191970768.6702368,391207154.8273758,4441144907.473648,After
2022-10-31 00:00:00+00:00,2239282116.9164233,477934491.644017,335036288.8107405,239902485.048069,199478160.25149366,390302129.2882828,4201971020.0542297,After
2022-11-01 00:00:00+00:00,2272653129.021007,488679013.20534635,366023074.2269392,241394221.77301407,204463885.77152464,422672065.27708286,3993418951.703888,After
2022-11-02 00:00:00+00:00,2182556862.943233,506973331.5637615,409039415.4068556,240989495.6693611,210073438.35739347,451891724.97221226,3862613149.8121033,After
2022-11-03 00:00:00+00:00,2209998588.635082,517723582.9790027,444024233.2320204,239639080.9814644,213449022.1090338,473413450.5985245,3682493866.6397247,After
